hour,walkin_demand,walkin_demand_std,driveThru_demand,driveThru_demand_std,total_demand,total_demand_std,happiness_rate,happiness_rate_std,avg_wait_walkin,avg_wait_walkin_std,avg_wait_driveThru,avg_wait_driveThru_std,current_price,staff_count,revenue,revenue_std,staff_cost,promotion_cost,profit,profit_std,strategy,repetitions
22,17.333333333333332,3.858612300930075,26.833333333333332,5.196686978792888,44.166666666666664,6.403558038743427,0.9860438320582059,0.02920822796761551,0.4442319639306667,0.661096698955734,0.38481697914546126,0.6195567653589867,10.0,6.0,441.6666666666667,64.03558038743427,90.0,0.0,351.6666666666667,64.03558038743427,baseline,30
23,16.366666666666667,3.0164364553043197,25.466666666666665,5.542161632030913,41.833333333333336,6.367015697239083,0.9928605707139542,0.024505431681817576,0.19811341056184428,0.22230099363299613,0.22431595028749146,0.3064831280861548,10.0,6.0,418.3333333333333,63.670156972390835,90.0,0.0,328.3333333333333,63.670156972390835,baseline,30
2,16.133333333333333,4.248398391027952,25.566666666666666,5.136038248386482,41.7,6.346390049994301,0.9382100000411466,0.08772598040889605,2.1547235953005357,1.5944059664890278,2.2514771805355567,1.6939557740529116,10.0,4.0,417.0,63.46390049994301,60.0,0.0,357.0,63.46390049994301,reduce_staff,30
3,15.6,4.386342439892261,26.133333333333333,4.68140529708287,41.733333333333334,5.932584222373547,0.7498759092450912,0.28102453912816033,4.266957964173074,3.656482755925296,4.338571308889664,3.6522339610795433,10.0,4.0,417.3333333333333,59.32584222373548,60.0,0.0,357.3333333333333,59.32584222373548,reduce_staff,30
4,16.566666666666666,4.168799454146107,26.133333333333333,5.942689252817747,42.7,8.462269199216012,0.6867315860698144,0.31582432867769883,5.8119194720317875,4.676342878691699,6.047680371489202,5.129092466893203,10.0,4.0,427.0,84.62269199216011,60.0,0.0,367.0,84.62269199216011,reduce_staff,30
5,15.5,3.2939338184001206,26.4,6.804900195202475,41.9,7.138393843622435,0.6656544281483053,0.38014265067448255,6.079889092498188,5.395968040522399,5.638821827099161,5.208404498491233,10.0,4.0,419.0,71.38393843622434,60.0,0.0,359.0,71.38393843622434,reduce_staff,30
6,15.366666666666667,5.036422892843249,26.7,5.640035460881429,42.06666666666667,8.290288830245233,0.7180309010116628,0.27000973681329454,5.732017532014524,4.3219985829251755,6.077894742618543,4.844967241089036,10.0,4.0,420.6666666666667,82.90288830245234,60.0,0.0,360.6666666666667,82.90288830245234,reduce_staff,30
7,16.1,4.077172222672637,27.4,5.70146180086008,43.5,6.596716354874345,0.763399413022454,0.2771554052439527,4.870995072280904,4.4578356012018885,4.677579307170315,4.099105636327378,10.0,4.0,435.0,65.96716354874346,60.0,0.0,375.0,65.96716354874346,reduce_staff,30
8,16.1,3.486641172628274,24.4,5.3516352641038605,40.5,6.5306967469022785,0.7489137128708037,0.3310585807264962,4.855114990412518,4.798334409337148,4.8290066647627325,5.155996746833067,10.0,4.0,405.0,65.30696746902278,60.0,0.0,345.0,65.30696746902278,reduce_staff,30
9,17.466666666666665,4.702717890279573,26.566666666666666,5.377008668602109,44.03333333333333,5.839425390300734,0.7268876447895553,0.2767295084775826,5.193165979467941,3.7057655793053157,5.262658773619,4.080491004734252,10.0,4.0,440.3333333333333,58.394253903007346,60.0,0.0,380.3333333333333,58.394253903007346,reduce_staff,30
